regioncode,region,countrycode,country
LCN,Latin America & Caribbean,ARG,Argentina
LCN,Latin America & Caribbean,ATG,Antigua and Barbuda
LCN,Latin America & Caribbean,BHS,"Bahamas, The"
LCN,Latin America & Caribbean,BLZ,Belize
LCN,Latin America & Caribbean,BOL,Bolivia
LCN,Latin America & Caribbean,BRA,Brazil
LCN,Latin America & Caribbean,BRB,Barbados
LCN,Latin America & Caribbean,CHL,Chile
LCN,Latin America & Caribbean,COL,Colombia
LCN,Latin America & Caribbean,CRI,Costa Rica
LCN,Latin America & Caribbean,CUB,Cuba
LCN,Latin America & Caribbean,CUW,Curacao
LCN,Latin America & Caribbean,CYM,Cayman Islands
LCN,Latin America & Caribbean,DMA,Dominica
LCN,Latin America & Caribbean,DOM,Dominican Republic
LCN,Latin America & Caribbean,ECU,Ecuador
LCN,Latin America & Caribbean,GRD,Grenada
LCN,Latin America & Caribbean,GTM,Guatemala
LCN,Latin America & Caribbean,GUY,Guyana
LCN,Latin America & Caribbean,HND,Honduras
LCN,Latin America & Caribbean,HTI,Haiti
LCN,Latin America & Caribbean,JAM,Jamaica
LCN,Latin America & Caribbean,KNA,St. Kitts and Nevis
LCN,Latin America & Caribbean,LCA,St. Lucia
LCN,Latin America & Caribbean,MAF,St. Martin (French part)
LCN,Latin America & Caribbean,MEX,Mexico
LCN,Latin America & Caribbean,NIC,Nicaragua
LCN,Latin America & Caribbean,PAN,Panama
LCN,Latin America & Caribbean,PER,Peru
LCN,Latin America & Caribbean,PRI,Puerto Rico
LCN,Latin America & Caribbean,PRY,Paraguay
LCN,Latin America & Caribbean,SLV,El Salvador
LCN,Latin America & Caribbean,SUR,Suriname
LCN,Latin America & Caribbean,SXM,Sint Maarten (Dutch part)
LCN,Latin America & Caribbean,TCA,Turks and Caicos Islands
LCN,Latin America & Caribbean,TTO,Trinidad and Tobago
LCN,Latin America & Caribbean,URY,Uruguay
LCN,Latin America & Caribbean,VCT,St. Vincent and the Grenadines
LCN,Latin America & Caribbean,VEN,"Venezuela, RB"
LCN,Latin America & Caribbean,VGB,British Virgin Islands
LCN,Latin America & Caribbean,VIR,Virgin Islands (U.S.)
MEA,Middle East & North Africa,ARE,United Arab Emirates
MEA,Middle East & North Africa,BHR,Bahrain
MEA,Middle East & North Africa,DJI,Djibouti
MEA,Middle East & North Africa,DZA,Algeria
MEA,Middle East & North Africa,EGY,"Egypt, Arab Rep."
MEA,Middle East & North Africa,IRN,"Iran, Islamic Rep."
MEA,Middle East & North Africa,IRQ,Iraq
MEA,Middle East & North Africa,ISR,Israel
MEA,Middle East & North Africa,JOR,Jordan
MEA,Middle East & North Africa,KWT,Kuwait
MEA,Middle East & North Africa,LBN,Lebanon
MEA,Middle East & North Africa,LBY,Libya
MEA,Middle East & North Africa,MAR,Morocco
MEA,Middle East & North Africa,MLT,Malta
MEA,Middle East & North Africa,OMN,Oman
MEA,Middle East & North Africa,PSE,West Bank and Gaza
MEA,Middle East & North Africa,QAT,Qatar
MEA,Middle East & North Africa,SAU,Saudi Arabia
MEA,Middle East & North Africa,SYR,Syrian Arab Republic
MEA,Middle East & North Africa,TUN,Tunisia
MEA,Middle East & North Africa,YEM,"Yemen, Rep."
NAC,North America,BMU,Bermuda
NAC,North America,CAN,Canada
NAC,North America,USA,United States
SAS,South Asia,AFG,Afghanistan
SAS,South Asia,BGD,Bangladesh
SAS,South Asia,BTN,Bhutan
SAS,South Asia,IND,India
SAS,South Asia,LKA,Sri Lanka
SAS,South Asia,MDV,Maldives
SAS,South Asia,NPL,Nepal
SAS,South Asia,PAK,Pakistan
SSF,Sub-Saharan Africa,AGO,Angola
SSF,Sub-Saharan Africa,BDI,Burundi
SSF,Sub-Saharan Africa,BEN,Benin
SSF,Sub-Saharan Africa,BFA,Burkina Faso
SSF,Sub-Saharan Africa,BWA,Botswana
SSF,Sub-Saharan Africa,CAF,Central African Republic
SSF,Sub-Saharan Africa,CIV,Cote d'Ivoire
SSF,Sub-Saharan Africa,CMR,Cameroon
SSF,Sub-Saharan Africa,COD,"Congo, Dem. Rep."
SSF,Sub-Saharan Africa,COG,"Congo, Rep."
SSF,Sub-Saharan Africa,COM,Comoros
SSF,Sub-Saharan Africa,CPV,Cabo Verde
SSF,Sub-Saharan Africa,ERI,Eritrea
SSF,Sub-Saharan Africa,ETH,Ethiopia
SSF,Sub-Saharan Africa,GAB,Gabon
SSF,Sub-Saharan Africa,GHA,Ghana
SSF,Sub-Saharan Africa,GIN,Guinea
SSF,Sub-Saharan Africa,GMB,"Gambia, The"
SSF,Sub-Saharan Africa,GNB,Guinea-Bissau
SSF,Sub-Saharan Africa,GNQ,Equatorial Guinea
SSF,Sub-Saharan Africa,KEN,Kenya
SSF,Sub-Saharan Africa,LBR,Liberia
SSF,Sub-Saharan Africa,LSO,Lesotho
SSF,Sub-Saharan Africa,MDG,Madagascar
SSF,Sub-Saharan Africa,MLI,Mali
SSF,Sub-Saharan Africa,MOZ,Mozambique
SSF,Sub-Saharan Africa,MRT,Mauritania
SSF,Sub-Saharan Africa,MUS,Mauritius
SSF,Sub-Saharan Africa,MWI,Malawi
SSF,Sub-Saharan Africa,NAM,Namibia
SSF,Sub-Saharan Africa,NER,Niger
SSF,Sub-Saharan Africa,NGA,Nigeria
SSF,Sub-Saharan Africa,RWA,Rwanda
SSF,Sub-Saharan Africa,SDN,Sudan
SSF,Sub-Saharan Africa,SEN,Senegal
SSF,Sub-Saharan Africa,SLE,Sierra Leone
SSF,Sub-Saharan Africa,SOM,Somalia
SSF,Sub-Saharan Africa,SSD,South Sudan
SSF,Sub-Saharan Africa,STP,Sao Tome and Principe
SSF,Sub-Saharan Africa,SWZ,Swaziland
SSF,Sub-Saharan Africa,SYC,Seychelles
SSF,Sub-Saharan Africa,TCD,Chad
SSF,Sub-Saharan Africa,TGO,Togo
SSF,Sub-Saharan Africa,TZA,Tanzania
SSF,Sub-Saharan Africa,UGA,Uganda
SSF,Sub-Saharan Africa,ZAF,South Africa
SSF,Sub-Saharan Africa,ZMB,Zambia
SSF,Sub-Saharan Africa,ZWE,Zimbabwe
